sample,fwd-ref,rev-ref,fwd-rev,core-ref,reads
79,22,8,8,8,54
79,22,16,16,6,6
79,52,46,92,30,15
79,52,32,68,20,9
79,52,10,18,6,1
79,52,36,80,24,4
79,52,38,82,26,1
79,52,24,40,12,16
79,52,30,58,18,1
79,22,18,18,6,33
79,52,22,28,12,1
79,52,34,78,22,5
79,52,28,54,16,2
79,52,40,86,28,6
79,48,42,84,30,1
79,52,32,64,20,2
79,22,10,10,4,7
79,52,42,88,30,1
79,22,8,8,6,1
79,34,28,54,16,1
79,52,26,52,14,2
79,22,10,10,10,1
79,36,20,20,8,1
79,52,22,28,14,1
79,44,24,36,12,1
79,22,14,14,4,1
79,38,28,54,16,1
79,52,32,66,24,1
79,46,24,40,12,1
79,52,32,62,20,1
79,48,30,58,18,1
79,44,24,66,12,1
79,52,26,52,12,6
79,52,52,98,30,12914
79,52,30,68,16,4
79,22,22,46,12,9126
79,22,12,12,6,7
79,20,22,20,10,43
79,22,20,20,10,65
79,52,50,96,30,10
79,44,44,96,30,26
79,48,52,90,30,17
79,52,52,94,30,311
79,48,52,94,30,70
79,45,45,94,23,41
79,52,48,94,30,24
79,22,20,44,12,8
79,38,38,92,22,1
79,22,18,42,12,8
79,12,14,8,4,2
79,31,31,80,12,1
79,46,46,96,24,188
79,48,48,98,26,73
79,44,44,92,22,16
79,13,12,8,4,1
79,52,52,86,30,17
79,52,48,90,30,10
79,52,52,90,30,61
79,20,20,20,10,8
79,38,38,92,16,4
79,16,24,8,4,1
79,12,12,8,4,3
79,48,52,90,28,31
79,22,18,42,10,40
79,52,18,18,8,1
79,22,22,42,12,80
79,23,22,32,12,37
79,52,44,90,28,4
79,52,28,58,26,1
79,22,22,38,12,5
79,48,52,94,28,94
79,25,23,60,11,1
79,42,46,92,22,1
79,22,19,11,8,1
79,46,46,100,24,112
79,40,52,74,26,1
79,52,48,86,28,11
79,18,22,16,6,3
79,52,48,94,28,90
79,48,48,90,26,10
79,42,42,96,20,5
79,22,18,34,10,1
79,52,12,10,6,2
79,52,32,72,18,4
79,20,20,6,4,22
79,22,12,13,10,1
79,12,12,8,2,4
79,22,10,6,4,3
79,48,52,74,28,1
79,48,48,98,30,35
79,16,12,8,6,1
79,52,48,90,28,22
79,22,18,8,4,2
79,43,43,94,21,16
79,41,41,94,19,4
79,46,48,88,28,1
79,18,20,16,8,1
79,52,44,78,28,2
79,52,44,90,24,6
79,44,44,98,22,1
79,44,44,96,22,28
79,52,28,58,22,1
79,20,22,6,4,2
79,50,52,96,30,10
79,22,22,32,12,89
79,45,37,86,19,1
79,46,46,92,24,6
79,22,20,36,10,6
79,41,41,102,20,1
79,22,18,38,10,3
79,12,12,8,6,46
79,42,40,72,24,1
79,44,48,82,24,1
79,52,38,84,20,1
79,52,32,54,24,1
79,48,48,90,28,11
79,42,42,92,20,11
79,44,52,90,26,2
79,24,24,40,12,11
79,22,24,42,12,6
79,46,38,92,22,1
79,21,20,20,10,10
79,52,44,86,28,7
79,12,12,6,4,3
79,16,18,12,4,1
79,52,44,82,26,3
79,44,52,78,30,1
79,25,21,78,11,22
79,25,22,32,12,5
79,39,39,86,20,1
79,52,44,86,26,4
79,37,37,82,20,2
79,44,44,96,26,4
79,44,52,78,26,1
79,22,14,26,10,1
79,52,30,60,16,6
79,22,18,18,10,1
79,48,44,94,28,3
79,52,30,70,16,1
79,52,42,88,22,16
79,52,30,64,16,6
79,52,16,24,14,1
79,18,22,12,6,1
79,12,10,6,4,4
79,36,32,86,14,1
79,25,20,20,10,7
79,52,18,14,14,1
79,48,48,86,26,10
79,52,40,82,26,1
79,18,22,18,6,49
79,18,18,18,6,21
79,41,45,86,23,1
79,46,46,92,30,5
79,35,30,60,20,1
79,36,36,84,18,4
79,52,32,44,20,1
79,44,44,90,30,1
79,21,21,92,10,1
79,48,52,86,28,11
79,38,38,88,18,1
79,52,52,82,30,4
79,45,45,102,23,4
79,40,40,92,26,1
79,52,30,48,22,1
79,52,48,82,30,3
79,52,22,16,8,1
79,34,26,64,16,1
79,52,34,50,22,1
79,40,52,82,26,1
79,50,48,92,28,2
79,48,48,98,28,9
79,22,32,18,8,1
79,48,44,90,26,1
79,52,12,15,6,1
79,22,10,10,6,2
79,22,12,8,6,1
79,52,12,10,4,4
79,18,22,38,10,1
79,16,16,12,10,1
79,44,48,86,26,2
79,29,29,70,18,2
79,29,29,74,12,1
79,52,8,8,4,1
79,19,22,36,8,1
79,20,18,16,10,2
79,41,41,90,20,3
79,28,28,72,14,2
79,26,26,52,14,1
79,52,40,54,26,1
79,52,44,66,30,1
79,45,37,82,21,1
79,33,33,92,12,2
79,48,48,86,28,6
79,26,22,32,12,1
79,35,35,62,18,1
79,43,43,90,21,4
79,43,43,90,22,2
79,38,38,84,26,3
79,22,16,28,8,1
79,48,48,82,26,2
79,44,52,90,28,9
79,25,25,82,12,1
79,52,10,12,4,1
79,31,31,74,16,1
79,42,42,88,22,2
79,18,22,38,12,2
79,52,44,90,26,6
79,50,50,96,30,2
79,36,36,80,22,1
79,52,17,22,16,1
79,22,16,28,10,1
79,46,42,92,22,1
79,52,30,62,16,4
79,36,52,82,26,1
79,27,27,70,16,2
79,48,52,78,30,3
79,16,10,6,4,1
79,48,52,86,30,8
79,52,20,22,14,1
79,52,44,78,26,2
79,44,48,78,26,3
79,52,30,56,16,1
79,48,30,66,16,1
79,46,44,76,26,1
79,46,12,12,4,1
79,24,24,34,14,4
79,44,48,90,30,1
79,52,12,8,4,1
79,44,52,86,30,1
79,52,52,74,30,2
79,16,20,16,10,1
79,40,40,84,28,1
79,19,22,36,10,1
79,52,48,86,30,7
79,48,44,86,24,1
79,22,10,8,6,2
79,25,23,78,13,1
79,12,11,8,8,1
79,22,24,46,12,6
79,18,22,18,8,3
79,52,10,12,6,1
79,24,20,12,4,1
79,52,36,78,24,1
79,52,10,8,8,1
79,52,44,82,28,1
79,35,35,86,14,1
79,44,44,98,30,1
79,40,48,70,26,1
79,52,12,18,18,1
79,33,33,88,20,1
79,48,48,86,30,1
79,14,18,8,4,1
79,52,40,70,24,2
79,52,32,62,24,1
79,42,48,56,24,1
79,22,18,10,6,1
79,44,52,82,26,1
79,39,39,90,18,3
79,18,24,18,6,1
79,18,20,6,4,3
79,48,48,94,30,10
79,52,40,82,24,3
79,46,10,12,4,1
79,52,40,62,26,1
79,52,28,50,20,1
79,42,52,84,26,1
79,44,48,86,28,1
79,36,52,70,24,1
79,30,30,76,14,1
79,28,28,100,14,1
79,48,44,94,26,2
79,18,18,6,4,2
79,39,39,86,18,2
79,22,12,6,4,1
79,22,22,42,14,2
79,46,52,84,28,2
79,22,16,14,6,1
79,22,16,16,8,2
79,42,42,88,30,2
79,28,20,20,10,1
79,52,40,86,26,1
79,22,13,8,6,1
79,50,48,92,30,1
79,46,46,88,24,1
79,20,8,8,4,1
79,36,30,40,12,1
79,22,28,46,12,1
79,12,12,6,6,2
79,38,38,88,22,2
79,52,46,88,28,1
79,34,34,80,16,2
79,40,28,30,14,1
79,28,28,54,16,1
79,32,32,76,14,1
79,10,12,8,4,1
79,40,52,86,24,1
79,35,35,82,14,2
79,52,18,12,6,1
79,22,8,8,4,6
79,14,22,6,4,1
79,16,22,16,10,3
79,40,40,70,18,1
79,52,12,10,8,1
79,38,38,94,24,1
79,14,10,6,4,1
79,52,10,12,8,1
79,39,39,86,24,2
79,46,52,88,30,2
79,18,24,8,4,1
79,16,18,12,6,1
79,30,30,66,18,2
79,52,10,14,6,1
79,52,30,52,22,1
79,39,39,86,22,2
79,52,48,74,30,2
79,22,22,28,12,1
79,50,52,92,30,4
79,52,38,82,20,7
79,22,10,10,8,1
79,46,42,96,22,1
79,40,52,74,24,1
79,26,22,46,12,1
79,44,22,30,16,1
79,46,52,92,28,1
79,52,48,82,28,3
79,43,31,78,15,1
79,41,41,90,19,2
79,52,14,10,4,2
79,52,12,12,8,1
79,10,12,6,4,2
79,25,21,70,13,1
79,22,14,14,6,2
79,48,48,90,30,2
79,12,10,12,4,1
79,52,14,16,6,2
79,26,22,42,14,2
79,39,39,90,20,1
79,44,52,86,28,2
79,22,22,28,10,1
79,44,52,82,28,1
79,48,52,82,30,2
79,42,42,84,22,1
79,22,14,24,8,1
79,28,28,48,18,1
79,48,48,74,28,1
79,25,21,74,11,2
79,22,12,4,4,1
79,24,22,38,10,1
79,44,48,82,28,1
79,44,38,80,28,1
79,52,44,58,28,1
79,40,40,98,26,1
79,14,12,8,4,2
79,20,18,16,8,1
79,46,20,48,16,1
79,52,26,50,12,5
79,22,12,10,6,4
79,22,10,12,8,1
79,52,28,62,22,1
79,44,40,82,26,1
79,31,31,74,14,1
79,18,22,14,6,3
79,46,52,92,30,2
79,32,32,94,10,2
79,52,48,78,28,3
79,36,52,70,26,1
79,38,46,92,24,1
79,48,10,14,8,1
79,37,37,86,16,2
79,52,10,6,4,1
79,33,33,82,16,1
79,22,12,8,4,2
79,44,40,66,24,1
79,52,16,14,8,1
79,21,16,16,8,1
79,22,16,16,10,2
79,41,37,90,18,1
79,22,14,6,4,2
79,52,18,14,8,1
79,46,42,92,24,4
79,36,36,86,20,1
79,37,37,86,20,1
79,41,45,82,23,1
79,52,10,8,6,1
79,33,33,78,20,1
79,22,14,8,6,1
79,52,40,42,24,1
79,48,52,82,28,4
79,22,22,42,10,2
79,37,37,86,18,1
79,10,10,6,4,1
79,36,44,54,22,1
79,36,40,82,24,1
79,37,43,84,19,1
79,38,38,84,18,1
79,35,35,82,18,1
79,48,48,94,26,2
79,45,41,90,23,1
79,37,37,92,23,1
79,36,52,78,28,1
79,26,26,80,14,1
79,52,28,54,14,4
79,22,16,20,6,1
79,52,23,33,26,1
79,52,18,18,10,1
79,52,12,12,6,2
79,52,14,12,6,1
79,42,10,14,8,1
79,14,14,18,8,1
79,22,16,10,6,3
79,48,44,82,26,2
79,52,32,74,24,1
79,52,12,12,10,1
79,42,46,80,24,1
79,48,46,64,28,1
79,12,26,6,4,1
79,48,40,82,22,1
79,38,38,88,16,5
79,40,52,86,28,2
79,22,14,6,6,1
79,12,15,8,4,1
79,12,14,11,8,1
79,29,29,78,12,1
79,52,46,92,26,1
79,52,28,54,20,1
79,48,52,78,28,1
79,37,37,86,24,2
79,30,30,80,18,2
79,22,24,10,6,1
79,40,40,96,22,1
79,40,40,94,18,2
79,12,12,6,2,1
79,26,26,66,14,3
79,44,46,80,26,1
79,37,37,90,15,1
79,42,42,96,24,1
79,52,40,74,24,1
79,36,48,62,26,1
79,22,18,38,12,1
79,42,46,92,24,2
79,12,12,10,4,3
79,42,46,84,22,1
79,44,52,86,26,3
79,40,40,96,26,1
79,40,48,78,24,1
79,48,30,60,16,1
79,52,40,58,28,1
79,35,35,82,21,1
79,48,44,82,28,2
79,29,29,98,14,1
79,52,24,38,22,1
79,52,44,70,26,1
79,40,40,62,26,1
79,44,48,74,24,1
79,39,39,92,17,2
79,30,30,72,18,1
79,22,18,34,12,1
79,42,46,90,22,1
79,52,24,44,18,1
79,38,38,92,20,1
79,44,44,82,24,1
79,20,24,36,10,1
79,40,40,98,18,2
79,36,48,62,24,1
79,43,43,94,22,1
79,26,20,20,10,2
79,36,36,84,14,2
79,18,18,10,4,1
79,44,44,66,24,1
79,22,18,12,6,1
79,52,22,56,24,1
79,52,40,16,8,1
79,52,18,19,16,1
79,44,48,74,26,1
79,52,36,46,24,1
79,46,46,100,26,2
79,52,52,66,30,1
79,14,52,10,4,1
79,18,22,32,8,1
79,33,38,82,13,1
79,22,14,8,4,1
79,22,20,28,10,1
79,24,12,36,8,1
79,35,35,88,19,1
79,42,52,88,28,1
79,22,20,16,8,1
79,52,34,56,24,1
79,46,46,100,30,1
79,46,44,60,24,1
79,52,10,6,6,1
79,30,26,72,12,1
79,22,24,38,12,1
79,46,38,88,18,1
79,52,30,64,24,1
79,32,32,68,20,1
79,36,48,86,22,1
79,52,30,48,18,1
79,29,29,84,10,1
79,52,12,12,4,1
79,48,40,74,22,2
79,12,8,6,4,1
79,33,33,78,16,1
79,52,12,14,4,1
79,20,18,6,4,1
79,40,40,92,18,1
79,44,44,98,28,1
79,52,26,54,14,1
79,20,20,44,12,1
79,22,24,12,6,1
79,22,6,6,4,1
79,52,18,26,16,1
79,20,24,18,6,1
79,22,52,20,10,1
79,14,12,8,8,1
79,25,25,64,13,1
79,52,16,13,6,1
79,52,12,6,4,1
79,20,22,40,12,1
79,35,35,86,20,1
79,42,42,88,20,1
79,52,18,14,10,1
79,42,42,68,22,1
79,48,40,82,24,1
79,22,20,8,4,1
79,22,20,17,8,1
79,22,16,26,6,1
79,31,31,74,18,1
79,52,12,8,6,1
79,52,20,42,20,1
79,52,29,35,28,1
79,52,32,70,20,1
79,52,26,62,18,1
79,46,52,88,28,1
79,36,36,92,16,1
79,35,31,78,16,1
79,38,30,84,22,1
79,52,40,66,24,1
79,52,42,84,22,1
79,16,22,16,8,1
79,48,42,84,22,1
79,52,24,34,16,1
79,30,24,62,14,1
79,12,22,12,4,1
79,29,29,76,16,1
79,13,17,6,4,1
79,32,32,84,14,1
79,42,38,88,22,1
79,52,30,54,16,1
79,48,18,16,10,1
79,46,24,18,16,1
79,52,10,10,10,1
79,52,40,86,20,1
79,18,22,30,12,1
79,37,37,90,16,1
79,22,12,12,4,1
79,45,45,102,24,1
79,18,22,18,10,1
79,48,44,90,28,1
79,52,34,74,20,2
79,22,20,30,12,1
79,26,24,48,14,1
79,52,40,74,28,1
79,14,14,16,6,1
79,39,39,94,17,1
79,24,20,20,8,1
79,31,31,78,16,1
79,16,22,32,12,1
79,34,52,56,26,1
79,39,39,90,17,1
79,40,52,66,28,1
79,52,52,70,30,1
79,32,32,78,19,1
79,52,32,50,26,1
79,34,34,90,16,1
79,22,20,32,8,1
79,52,18,12,4,1
79,35,35,82,16,4
79,52,40,78,26,1
79,21,10,10,4,1
79,52,12,14,8,1
79,36,40,84,18,1
79,39,41,92,19,1
79,52,18,28,16,1
79,48,48,82,30,1
79,52,50,92,30,1
79,31,31,84,12,2
79,44,44,90,24,1
79,24,21,68,12,1
78,22,18,42,12,22
78,52,24,40,12,19
78,52,42,88,28,10
78,22,18,18,6,56
78,52,48,94,30,64
78,48,28,54,16,1
78,22,8,8,8,30
78,52,32,68,20,3
78,52,26,52,14,4
78,52,34,80,22,6
78,52,44,90,30,5
78,12,8,6,4,1
78,52,30,66,18,1
78,20,8,8,8,1
78,52,28,54,16,10
78,12,8,6,6,1
78,52,36,82,24,6
78,52,46,92,30,2
78,52,26,48,14,3
78,52,26,50,14,2
78,22,12,12,4,4
78,52,44,90,28,6
78,45,22,38,10,1
78,52,30,60,18,2
78,52,30,64,18,2
78,52,36,78,24,1
78,52,32,60,20,1
78,52,32,66,20,1
78,41,20,20,8,1
78,48,22,44,14,1
78,50,22,38,12,1
78,52,10,10,4,4
78,52,28,54,14,10
78,52,52,98,30,13133
78,52,30,58,16,5
78,22,22,46,12,8112
78,22,10,10,4,6
78,52,42,88,24,10
78,48,48,90,28,18
78,44,44,96,22,36
78,46,46,96,24,184
78,39,39,86,22,1
78,50,52,96,30,12
78,45,45,94,23,36
78,20,20,6,4,41
78,12,10,4,2,217
78,22,22,32,12,104
78,52,48,94,28,129
78,26,22,32,12,6
78,52,52,94,30,357
78,22,12,8,4,5
78,12,10,6,4,20
78,22,18,42,10,35
78,20,22,20,10,60
78,46,46,100,24,112
78,22,20,44,12,5
78,48,52,94,28,77
78,22,16,16,10,4
78,23,22,32,12,53
78,22,18,38,12,2
78,48,48,86,30,1
78,22,20,20,10,62
78,12,10,8,4,9
78,22,22,42,12,97
78,48,52,82,30,4
78,52,50,96,30,12
78,26,26,52,14,3
78,20,16,6,4,3
78,21,17,74,8,1
78,44,48,90,26,2
78,52,52,82,30,7
78,10,14,10,4,1
78,52,44,90,26,10
78,52,44,82,28,6
78,22,14,14,4,1
78,52,48,82,28,6
78,52,48,86,28,8
78,22,24,34,14,1
78,42,42,84,24,1
78,44,48,86,26,4
78,48,48,98,26,58
78,52,30,64,16,6
78,25,8,8,4,1
78,40,40,92,18,4
78,48,48,86,26,3
78,52,10,12,6,1
78,22,12,4,4,1
78,43,43,90,22,1
78,52,52,90,30,62
78,27,27,70,16,2
78,44,44,92,22,15
78,18,18,18,6,10
78,44,44,96,30,25
78,18,14,48,14,2
78,26,24,30,14,1
78,48,52,90,30,35
78,22,24,46,12,11
78,32,32,76,16,13
78,12,12,36,12,1
78,52,48,90,28,29
78,18,22,12,4,2
78,22,14,8,6,2
78,50,48,88,28,1
78,48,44,78,24,1
78,44,52,90,28,11
78,48,44,23,28,1
78,33,33,92,12,4
78,22,24,38,12,1
78,46,46,88,24,1
78,48,52,94,30,142
78,48,40,78,26,1
78,38,42,84,20,1
78,52,36,80,20,1
78,22,18,8,4,2
78,12,10,4,4,9
78,22,22,38,12,9
78,14,12,6,4,3
78,52,10,8,4,2
78,24,24,40,12,26
78,20,20,44,12,3
78,36,36,80,22,1
78,48,48,98,30,42
78,52,16,22,10,1
78,14,12,26,10,4
78,19,22,30,8,1
78,43,43,94,21,18
78,26,20,20,10,4
78,12,12,6,4,12
78,25,21,78,11,39
78,10,28,11,8,1
78,48,48,90,26,3
78,22,22,42,10,5
78,35,35,90,21,1
78,46,42,92,22,7
78,52,48,78,28,2
78,25,22,32,12,10
78,52,48,82,30,3
78,52,52,70,30,2
78,52,44,86,26,3
78,52,52,62,30,1
78,22,8,8,4,6
78,52,32,70,18,5
78,52,30,56,16,3
78,14,10,10,4,14
78,39,39,92,17,1
78,40,40,92,20,2
78,36,36,84,14,2
78,52,8,8,8,2
78,22,16,12,6,1
78,20,20,20,10,8
78,22,22,38,10,3
78,21,20,20,10,28
78,26,28,20,8,1
78,30,30,80,20,3
78,37,37,92,15,1
78,33,21,100,13,1
78,22,14,16,6,2
78,44,44,78,24,1
78,52,12,10,4,1
78,24,32,68,16,1
78,36,40,82,24,1
78,52,48,86,30,3
78,22,24,42,12,5
78,39,39,86,19,1
78,44,44,98,22,5
78,25,20,20,10,9
78,37,37,88,15,3
78,20,22,6,4,8
78,29,29,76,16,1
78,34,34,24,6,2
78,48,52,86,30,10
78,34,34,80,22,3
78,50,50,92,30,1
78,48,36,74,24,1
78,52,40,78,28,1
78,44,44,96,26,2
78,14,12,8,6,2
78,18,22,18,6,35
78,42,46,92,24,5
78,20,22,18,6,1
78,52,26,50,20,1
78,12,12,6,6,3
78,42,42,88,30,1
78,22,12,12,10,1
78,40,52,82,28,1
78,48,44,90,28,1
78,52,30,28,18,1
78,52,34,44,24,1
78,44,36,54,24,1
78,52,14,16,4,1
78,48,48,82,28,5
78,44,32,58,18,1
78,14,10,6,4,10
78,52,34,74,20,7
78,52,48,90,30,13
78,48,44,82,24,2
78,44,52,86,28,3
78,41,41,102,19,1
78,52,46,92,28,4
78,14,12,16,8,1
78,14,11,52,10,1
78,12,14,8,4,1
78,52,46,88,28,3
78,26,26,66,14,1
78,13,13,84,12,1
78,46,44,80,28,1
78,18,24,18,6,2
78,52,34,72,24,1
78,26,26,72,14,2
78,52,14,16,8,1
78,12,12,6,2,1
78,26,24,48,14,2
78,46,46,92,24,7
78,25,22,60,12,1
78,39,39,94,17,2
78,14,10,8,4,4
78,48,48,82,30,2
78,52,44,82,26,5
78,26,22,92,12,1
78,16,12,10,6,1
78,36,32,62,22,1
78,39,39,86,18,2
78,48,52,86,28,3
78,52,46,84,30,1
78,42,52,80,26,1
78,26,20,24,10,1
78,34,30,76,20,1
78,22,20,38,10,1
78,16,10,6,4,17
78,52,24,14,8,1
78,12,16,8,4,1
78,48,48,94,30,11
78,35,35,82,18,1
78,26,22,46,12,2
78,52,36,62,24,1
78,37,37,86,24,1
78,52,52,86,30,17
78,52,52,78,30,1
78,46,26,52,14,1
78,22,18,52,16,1
78,52,32,20,20,1
78,52,8,8,4,1
78,22,20,36,10,2
78,52,14,10,8,2
78,46,32,74,18,1
78,52,10,8,6,1
78,32,12,8,6,1
78,12,20,8,4,1
78,52,44,86,28,5
78,44,48,86,28,3
78,48,44,78,26,1
78,35,35,82,14,3
78,43,35,74,17,1
78,39,39,90,18,3
78,43,43,90,21,5
78,20,18,16,10,1
78,44,14,16,8,1
78,48,52,90,28,15
78,45,45,102,24,1
78,52,50,92,30,2
78,10,10,4,4,1
78,52,40,70,28,2
78,12,11,6,6,1
78,52,20,24,16,1
78,48,48,70,30,1
78,48,34,72,22,1
78,26,18,34,12,2
78,48,44,82,28,1
78,22,18,26,14,1
78,48,40,82,24,1
78,52,34,76,20,3
78,46,36,86,18,1
78,29,22,34,8,1
78,21,21,74,10,1
78,22,14,8,4,1
78,22,12,10,6,2
78,22,12,12,6,1
78,52,12,8,4,3
78,36,52,78,26,1
78,40,40,98,26,2
78,26,22,42,14,28
78,20,18,6,4,3
78,52,44,78,28,3
78,52,48,78,30,1
78,22,20,28,8,1
78,18,20,18,6,2
78,32,30,74,16,1
78,14,22,6,4,1
78,44,48,78,28,2
78,10,40,8,4,1
78,16,10,4,2,2
78,14,12,12,4,1
78,12,12,14,8,1
78,26,24,34,14,1
78,10,28,6,4,1
78,18,22,14,6,4
78,18,20,6,4,3
78,48,50,88,30,2
78,18,10,8,4,1
78,44,40,70,20,1
78,48,40,66,24,1
78,44,52,90,26,2
78,48,44,86,26,2
78,44,52,86,30,2
78,48,12,10,4,1
78,12,12,4,4,1
78,52,44,74,28,1
78,22,12,10,10,1
78,52,48,74,28,2
78,44,40,74,22,1
78,28,28,76,12,1
78,12,16,10,4,1
78,45,43,92,23,1
78,33,33,78,16,3
78,46,46,92,30,3
78,31,31,74,16,1
78,38,38,92,16,2
78,44,48,94,26,4
78,20,50,54,18,1
78,42,38,76,28,1
78,42,36,68,24,1
78,12,14,4,4,2
78,48,46,66,30,1
78,22,16,8,4,1
78,36,48,62,28,1
78,22,16,24,8,1
78,33,33,82,16,1
78,22,14,14,6,6
78,28,28,104,10,1
78,22,18,28,8,3
78,32,52,74,24,1
78,18,22,6,4,1
78,44,48,82,28,1
78,22,16,16,6,3
78,40,48,74,24,1
78,46,48,80,26,1
78,50,50,96,30,6
78,45,45,102,23,3
78,52,34,68,26,1
78,52,12,10,12,1
78,52,24,44,18,1
78,40,48,70,26,1
78,52,40,66,24,1
78,14,28,10,4,1
78,22,18,38,10,4
78,52,34,70,20,1
78,22,8,8,6,1
78,44,52,90,30,4
78,36,36,84,18,2
78,52,20,14,10,1
78,42,42,88,22,3
78,52,12,12,6,2
78,40,40,102,18,2
78,48,48,98,28,13
78,32,32,68,20,3
78,39,39,86,17,1
78,33,33,82,14,2
78,42,42,96,24,1
78,30,30,72,18,1
78,52,28,40,22,1
78,52,28,74,24,1
78,50,52,88,30,1
78,44,40,62,20,1
78,44,40,46,28,1
78,48,52,82,28,2
78,22,22,42,14,3
78,52,36,82,20,7
78,52,14,18,8,1
78,35,35,86,16,1
78,24,24,94,10,1
78,29,29,78,16,1
78,18,12,54,10,1
78,52,38,84,28,1
78,48,48,74,28,1
78,42,46,84,28,1
78,34,34,80,14,1
78,16,22,16,10,3
78,22,16,54,12,1
78,22,10,8,4,1
78,26,26,96,12,2
78,43,41,104,22,1
78,48,16,16,6,1
78,35,35,78,16,1
78,41,41,90,19,5
78,36,36,84,22,1
78,16,16,6,4,2
78,20,24,32,10,1
78,22,16,10,8,1
78,32,36,80,16,1
78,48,28,44,14,1
78,22,12,22,6,1
78,40,48,62,24,1
78,22,12,6,6,2
78,48,48,86,28,6
78,46,46,84,24,1
78,20,22,36,10,3
78,26,18,38,12,5
78,52,38,62,28,1
78,12,8,4,2,1
78,52,30,66,16,3
78,22,22,116,10,1
78,12,16,8,6,1
78,38,38,88,18,2
78,52,36,70,26,1
78,22,12,6,4,1
78,52,21,31,20,1
78,46,46,100,28,1
78,52,18,24,16,1
78,26,26,76,14,1
78,28,29,48,18,1
78,36,40,80,18,1
78,52,38,84,22,3
78,52,16,10,4,1
78,46,20,36,18,1
78,16,12,4,4,1
78,44,36,42,26,1
78,48,26,52,12,1
78,18,10,10,4,1
78,46,36,90,20,1
78,33,37,88,15,1
78,28,28,76,16,1
78,52,44,62,26,1
78,52,44,78,26,1
78,14,12,50,12,3
78,52,10,10,6,1
78,42,52,88,30,1
78,40,40,88,18,3
78,52,26,68,22,1
78,22,18,26,8,1
78,22,8,6,4,1
78,40,44,70,26,1
78,22,20,32,10,1
78,40,40,90,24,2
78,22,20,42,10,1
78,20,22,26,12,1
78,46,50,92,30,1
78,29,27,64,14,1
78,52,12,12,8,1
78,52,32,58,22,1
78,52,32,46,26,1
78,21,17,78,10,1
78,48,48,78,28,1
78,16,14,6,4,2
78,52,40,70,30,1
78,39,39,90,20,1
